CATEGORIA,PRODUCTO,PROVEEDOR,WEB,UBICACION,PRECIO_500G,PRECIO_1KG,PRECIO_2.5KG,PRECIO_5KG,PRECIO_25KG,UNIDAD_MINIMA,CERTIFICACIONES,NOTAS,CONTACTO

===== INGREDIENTES - AVENA SIN GLUTEN =====
Ingrediente,Copos Avena Sin Gluten Bio,Bauckhof (via Conasi),conasi.eu,Alemania/España,3.58€,7.16€,17.90€ (x5),35.80€ (x10),-,475g,Bio - Demeter - Sin Gluten Certificado,Molino exclusivo SG. Referencia en Europa. 6+ unidades: 3.15€/ud,info@conasi.eu
Ingrediente,Copos Avena Sin Gluten Finos 1kg Bio,Sol Natural,solnatural.bio,España,-,~8-9€,-,-,-,1kg,Bio - Sin Gluten,Disponible en Amazon y tiendas eco,-
Ingrediente,Copos Avena Sin Gluten,Carrefour Classic,carrefour.es,España,~2.50€,-,-,-,-,500g,Sin Gluten,Opción económica supermercado,-
Ingrediente,Avena Sin Gluten Granel,Un Mundo a Granel,unmundoagranel.es,España,Consultar,Consultar,Consultar,Consultar,-,Variable,Sin Gluten,Venta a granel online,info@unmundoagranel.es

===== INGREDIENTES - FRUTOS SECOS =====
Ingrediente,Almendra Marcona Pelada Cruda,Sabores de Teruel,saboresdeteruel.es,Teruel,-,~15€/kg cáscara,-,37.50€ cáscara,-,5kg min,Nacional,Venta directa agricultor. Precio pelada: ~25-30€/kg,Tel: consultar web
Ingrediente,Almendra Cruda Eco Nacional,Graneles El Montañés,graneleselmontanes.es,España,-,25.48€,-,-,-,250g,Bio - Nacional,Almendra con piel ecológica,-
Ingrediente,Almendra Largueta cáscara,Sabores de Teruel,saboresdeteruel.es,Teruel,-,3.35€,-,16.75€,-,5kg min,Nacional,Con cáscara. Pelada consultar,-
Ingrediente,Almendras al por mayor,Frutos Secos Alhambra,frutossecosalhambra.es,Granada,-,Consultar,-,-,Desde 20kg,20kg,Nacional,+65 años experiencia. HORECA,Tel: consultar web
Ingrediente,Nueces Peladas,Frutos Secos del Carmen,frutossecosdelcarmen.es,Valencia,-,~12-15€,-,-,-,250g,Nacional,Cosecha 2025/26,-
Ingrediente,Avellanas Crudas,Corbera Frutos Secos,somoscorbera.com,España,-,Consultar,-,-,-,Consultar,Nacional - Calibre Grande,+80 años mayorista,Tel: consultar web

===== INGREDIENTES - SEMILLAS =====
Ingrediente,Pipas Girasol Peladas Sin Gluten Bio,La Calabaza (Bioartesa),lacalabaza.es,Castilla y León,3.43€,6.85€,-,-,-,250g,Bio - Sin Gluten,Origen nacional,-
Ingrediente,Semilla Girasol Pelada ECO,Saludviva,saludvivatiendagranel.es,España,~2.40€,~4.80€,~10.80€,~21.60€,-,100g,Bio,Granel ecológico,-
Ingrediente,Semillas Calabaza Premium ECO,Saludviva,saludvivatiendagranel.es,España,~2.98€,~5.96€,~14.90€,~29.80€,-,100g,Bio,Sin gluten. Trazas posibles,-
Ingrediente,Semillas Calabaza Peladas Sin Gluten,Foody (Caminastur),foody.es,España,-,~12-14€,-,-,-,1kg,Sin Gluten,Ideal panificación,-
Ingrediente,Semillas Calabaza Peladas Bio,TooBio,biobay.es,España,-,-,-,-,Consultar 3kg,3kg,Bio - Sin Gluten,Formato grande,-
Ingrediente,Pipas/Semillas granel,Secofrut,secofrut.com,España,-,Consultar,-,-,-,Consultar,Variable,Mayorista 24/48h,Tel: consultar web

===== INGREDIENTES - COCO RALLADO =====
Ingrediente,Coco Rallado Granel,Un Mundo a Granel,unmundoagranel.es,España,~3.50€,~6.50€,-,-,-,100g,Variable,Puede trazas gluten. Envío +40€ gratis,Amazon también
Ingrediente,Coco Rallado Sin Azúcar,Agranel Tienda,agraneltienda.com,España,-,13.79€,-,-,-,Variable,-,Rallado fino,-
Ingrediente,Coco Rallado,Villa Granel,villagranel.com,Gandía,Consultar,Consultar,-,-,-,250g,Variable,Tienda física + online. +50€ envío gratis,-
Ingrediente,Coco Rallado Deshidratado,Detarros,detarros.com,España,~1.60€,~3.20€,-,-,-,Variable,Sri Lanka,Desde 1.60€ según opción,-
Ingrediente,Coco Rallado Bio Sin Gluten,Finestra (La Tienda del Alérgico),latiendadelalergico.com,España,~3.50€ (200g),-,-,-,-,200g,Bio - Sin Gluten Certificado,Certificado Gluten Free,-
Ingrediente,Coco Rallado Bio Sin Gluten,Toobio (Happy Vegetal),happyvegetal.es,España,~2.80€ (150g),-,-,-,-,150g,Bio - Sin Gluten - Premium,Sin aditivos. Sin lactosa,-

===== INGREDIENTES - PIEL NARANJA =====
Ingrediente,Piel Naranja Deshidratada Dados,Mironous,mironous.com,España,-,Consultar,-,-,-,Consultar,-,Frutos secos y especias,Tel: 629379289
Ingrediente,Naranja Deshidratada con Piel,Orange Tree Sevilla,orangetreesevilla.com,Sevilla,-,~47€/kg,-,-,-,250g,Nacional,Premium coctelería. 11.75€/pack,-
Ingrediente,Cáscara Naranja Seca,Gran Velada,granvelada.com,España,~4€ (100g),~35€,-,-,-,100g,Cosméticos,Venta mayor y menor,-
Ingrediente,Piel Naranja Deshidratada Eco,VidaViva Ecofood,vidaviva.eco,España,-,Consultar,-,-,-,Variable,Bio - Artesanal,Naranjas eco seleccionadas,-
Ingrediente,Naranja Deshidratada BL 1kg,Tierra Granel,tierragranel.es,España,-,~15-18€,-,-,-,1kg,-,Cortada y deshidratada,-
Ingrediente,Cáscara Naranja Seca Industrial,LemonConcentrate,lemonconcentrate.es,España,-,-,-,-,Consultar,Industrial,Mediterráneo,Fabricante. Naranjas españolas,Formulario web

===== INGREDIENTES - ESPECIAS SIN GLUTEN =====
Ingrediente,Pack Especias Sin Gluten,Delicatessin,delicatessin.com,España,-,Variable,-,-,-,50-100g,Sin Gluten Certificado,Todas referencias certificadas SG,-
Ingrediente,Especias Granel Sin Gluten,1001Especias,1001especias.com,España,-,Variable,-,-,-,Variable,Sin Gluten 100%,Protocolo estricto anti-contaminación,-
Ingrediente,Especias Sin Gluten Carmencita,Carmencita,carmencita.com,España,-,Variable,-,-,-,Variable,Sin Gluten - Premio FACE 2019,Mejor marca certificada SG,-
Ingrediente,Canela Ceilán Rama,Maná Productos SG (Céltigos),manaproductossingluten.com,España,-,4.95€ (pack),-,-,-,Pack,Sin Gluten,-,-
Ingrediente,Jengibre Molido 150g,Maná Productos SG (Céltigos),manaproductossingluten.com,España,-,3.74€ (150g),-,-,-,150g,Sin Gluten,-,-
Ingrediente,Cúrcuma Molida,Maná Productos SG (Céltigos),manaproductossingluten.com,España,-,5.83€ (pack),-,-,-,Pack,Sin Gluten,-,-
Ingrediente,Especias Granel,Bonísimo,bonisimo.es,España,-,Variable,-,-,-,Variable,Variable,Canela Ceylán - Jengibre - Cúrcuma,-
Ingrediente,Especias Granel,Graneles El Montañés,graneleselmontanes.es,España,-,Variable,-,-,-,250g,Variable,Amplio catálogo especias,-

===== PACKAGING - BOLSAS DOYPACK =====
Packaging,Bolsas Doypack Kraft 12x20x6cm (100uds),Makro (SUMIPROF),makro.es,España,20€ (100uds),0.20€/ud,-,-,-,100 uds,Uso alimentario,5+ packs: 15€. IVA: 24.20€,-
Packaging,Bolsas Doypack Kraft con Ventana,Bolsas Buendí,bolsasdeplasticobuendi.com,España,Desde 112.38€,Variable,-,-,-,Variable,Normativa EU alimentos,Fábrica española. Envío 3-5 días,-
Packaging,Doypack Kraft 500g Ventana Zipper,Osona Seal Pack,osonasealpack.com,España,-,-,-,-,Consultar 1050uds,1050 uds,Uso alimentario,Fabricantes. Envío gratuito pack,-
Packaging,Bolsas Doypack Kraft+PP Metalizado,Bolenvase,bolenvase.es,España,-,Variable,-,-,-,Variable,80 micras,Alta barrera. Varios acabados,-
Packaging,Bolsas Doypack Kraft 50 uds,Dispan,dispan.es,España,-,Variable,-,-,-,50 uds,Uso alimentario,-3% +250€ / -5% +500€ / -7% +1000€,-
Packaging,Doypack Kraft ZIP Ventana 50uds,Monouso,monouso.es,España,~15-20€ (50uds),-,-,-,-,50 uds,Uso alimentario,Termosellable + ZIP resellable,-
Packaging,Bolsas Doypack 250g Kraft (250uds),Complementos del Café,complementosdelcafe.com,España,-,-,-,-,~80-100€,250 uds,-,Ideal pequeños productores,-

===== PACKAGING - BOLSAS KRAFT PERSONALIZADAS =====
Packaging,Bolsas Kraft Personalizadas,Printai,printai.es,España,Consultar,Consultar,-,-,-,Variable,100% España,Digital 3 días / Flexo 4 días / Serigrafia 7 días,-
Packaging,Bolsas Kraft con Logo,VistaPrint,vistaprint.es,España,Desde ~50€,-,-,-,-,25 uds,Variable,3 tamaños. Impresión integral disponible,-
Packaging,Bolsas Papel Personalizadas,Wanapix,wanapix.es,España,Desde ~30€,-,-,-,-,1 ud,Sin mínimo,Sin pedido mínimo. Color alta calidad,-
Packaging,Bolsas Kraft Personalizadas,Embalando,embalando.es,España,Consultar,-,-,-,-,Variable,100% reciclable,Múltiples colores y gramajes,-
